ClientID	MarkerMode	AssignedStatus
3960	2	2
4469	2	2
4470	2	2
4471	2	2
3644	2	2
3399	2	2
3968	2	2
4368	2	2
3652	2	2
3972	2	2
4369	2	2
3854	2	2
3858	2	2
3976	2	2
4176	2	2
4177	2	2
4473	2	2
4180	2	2
4182	2	2
4474	2	2
3987	2	2
4475	2	2
4186	2	2
4187	2	2
3865	2	2
4378	2	2
3867	2	2
4189	2	2
656	2	2
4190	2	2
4476	2	2
4477	2	2
4193	2	2
3992	2	2
4478	2	2
4479	2	2
3385	2	2
4200	2	2
3872	2	2
3660	2	2
4481	2	2
3413	2	2
4483	2	2
4484	2	2
4206	2	2
3879	2	2
4390	2	2
3068	2	2
4485	2	2
4486	2	2
4004	2	2
4487	2	2
4005	2	2
4395	2	2
4396	2	2
4488	2	2
4007	2	2
3387	2	2
4489	2	2
4490	2	2
4398	2	2
4491	2	2
3668	2	2
4210	2	2
4399	2	2
4400	2	2
916	2	2
4212	2	2
4213	2	2
4492	2	2
3347	2	2
3558	2	2
2954	2	2
3391	2	2
3892	2	2
4494	2	2
4406	2	2
3896	2	2
4216	2	2
3673	2	2
4219	2	2
4015	2	2
3899	2	2
3900	2	2
4221	2	2
4017	2	2
4495	2	2
4410	2	2
4223	2	2
4496	2	2
4229	2	2
3212	2	2
4233	2	2
3351	2	2
4412	2	2
3904	2	2
2791	2	2
3908	2	2
3646	2	2
4238	2	2
4415	2	2
4497	2	2
4416	2	2
4498	2	2
3432	2	2
4242	2	2
4499	2	2
4244	2	2
2695	2	2
4500	2	2
3681	2	2
4501	2	2
4422	2	2
4502	2	2
4503	2	2
2559	2	2
4248	2	2
4249	2	2
4505	2	2
4424	2	2
4506	2	2
3683	2	2
4428	2	2
4507	2	2
4508	2	2
4510	2	2
4433	2	2
4435	2	2
4436	2	2
4511	2	2
4437	2	2
4438	2	2
3093	2	2
4512	2	2
4051	2	2
4054	2	2
4441	2	2
3928	2	2
4513	2	2
4514	2	2
4515	2	2
4058	2	2
4359	2	2
4516	2	2
4261	2	2
4443	2	2
4444	2	2
4445	2	2
3931	2	2
4447	2	2
4518	2	2
4267	2	2
4065	2	2
4453	2	2
4273	2	2
4274	2	2
3569	2	2
4521	2	2
4522	2	2
4068	2	2
4456	2	2
3938	2	2
3939	2	2
4523	2	2
4070	2	2
3566	2	2
3105	2	2
4463	2	2
4464	2	2
4525	2	2
4077	2	2
4465	2	2
4526	2	2
3941	2	2
4466	2	2
4283	2	2
4468	2	2
4527	2	2
4528	2	2
4088	2	2
3706	2	2
4303	2	2
3730	2	2
4529	2	2
4531	2	2
4532	2	2
4125	2	2
4533	2	2
4534	2	2
3732	2	2
3733	2	2
4536	2	2
3608	2	2
4335	2	2
3325	2	2
4139	2	2
4537	2	2
4151	2	2
3838	2	2
4538	2	2
4539	2	2
4353	2	2
3020	2	2
4542	2	2
4543	2	2
4544	2	2
4545	2	2
4546	2	2
4547	2	2
4548	2	2
4549	2	2
4550	2	2
3578	2	2
4551	2	2
4100	2	2
3121	2	2
3785	2	2
3132	2	2
4552	2	2
4553	2	2
4554	2	2
4555	2	2
4556	2	2
4557	2	2
4558	2	2
4336	2	2
4142	2	2
4339	2	2
4559	2	2
4560	2	2
4561	2	2
4562	2	2
4294	2	2
1036	2	2
3712	2	2
4563	2	2
4124	2	2
2603	2	2
2860	2	2
4564	2	2
3275	2	2
4565	2	2
4566	2	2
4567	2	2
4160	2	2
4568	2	2
3635	2	2
3467	2	2
4334	2	2
1033	2	2
4354	2	2
4569	2	2
4570	2	2
5	2	2
4571	2	2
3508	2	2
4572	2	2
4291	2	2
4573	2	2
4091	2	2
4574	2	2
4575	2	1
4576	2	2
4577	2	1
3308	2	2
4578	2	2
1034	2	1
4579	2	2
4580	2	2
4309	2	2
4110	2	2
4111	2	2
4581	2	2
3589	2	2
4582	2	2
4312	2	2
4113	2	2
4583	2	1
4314	2	2
2738	2	2
4584	2	2
4585	2	2
3031	2	2
3796	2	2
4586	2	2
4587	2	2
3752	2	2
3600	2	2
4588	2	2
4589	2	2
4590	2	2
1151	2	2
280	2	2
3703	2	2
3744	2	2
4591	2	2
4592	2	2
2889	2	2
1169	2	2
4135	2	1
4593	2	2
3611	2	2
912	2	2
4594	2	2
4595	2	1
910	2	2
4596	2	2
4597	2	1
3280	2	2
4598	2	2
4599	2	2
4600	2	2
4601	2	2
4350	2	2
4604	2	2
4605	2	2
4606	2	1
3713	2	2
4607	2	2
2541	2	2
4608	2	2
4358	2	2
4609	2	2
4610	2	2
4081	2	2
3301	2	2
3772	2	2
4611	2	2
2732	2	2
4613	2	2
3945	2	2
4614	2	2
4615	2	2
3461	2	2
4616	2	2
4617	2	2
3710	2	2
4618	2	2
4322	2	2
4619	2	2
4621	2	2
604	2	2
4131	2	2
4622	2	2
4623	2	2
4143	2	2
3619	2	2
4624	2	2
398	2	2
4625	2	2
3622	2	2
3535	2	2
4152	2	2
3525	2	2
3731	2	2
4162	2	2
4315	2	2
3304	2	2
4627	2	2
4628	2	2
4630	2	2
768	2	2
4540	2	2
4530	2	2
4603	2	2
4602	2	2
